author_name,painting_name,Style,Genre,Theme,Date,Period,image_url
Fanny Sanín,Acrylic No 7##PgHuNPL7tCzllg,Geometric Abstraction,,,1994,,http://lh3.googleusercontent.com//FHQ_SjNhmdHk88NO0GjSi1j7Mz7OzJr9OqWbfFUHKiwm8_lSk1hXBq6st0J1ow3u3g
Fanny Sanín,Acrylic No 3##8wFsMfnNZXCYKg,Geometric Abstraction,,,1988,,http://lh3.googleusercontent.com//NAPSsG9kp27yYrQecPaAFydK0lBYSQlsfdYMGuXBxui8Chk5hjj0KmbLhjPFRE51dg
Fanny Sanín,Composition No 1##SgHjP33UTzF8bA,Geometric Abstraction,,,2003,,http://lh3.googleusercontent.com//u1C09ABkZ7x_iwfSuYQ-9Kd6SAZ8y_DH7GVOXoqe2oc3IimhDooVrnhbRrNEF_o9vA
Fanny Sanín,Composition No 1##ngHsS5kVe814Qg,Geometric Abstraction,,,2011,,http://lh3.googleusercontent.com//QG2XK0SabidZABLKqP8nhA9ryhpYG_E0QmOsMm8F5ZJdVorbImb2V2H6TtNKNA-vYw
Fanny Sanín,Acrylic No 7##vAFKBkEQnV-sQQ,Geometric Abstraction,,,1970,,http://lh3.googleusercontent.com//2qcZhDt_uC2Ge2rDZ6TKZMgNktvjrDTq6tH5J6XsU7zJum4yuEQL9NmxLcebM2QTMw
Juan Sánchez Cotán,Still Life With Cardoon##9gGhkXq3DErrWg,Baroque,,,1600-1600,,http://lh3.googleusercontent.com//yznlR3IpDy_FvrNB-kSEbGgPBoCC8As-iGw5gZHqaBeAe2gOtSbBveDBk0A_2WdsrA
Juan Sánchez Cotán,Saint Bruno In The Mountain Of Calabria##DgHg0iJuTLYdUA,Manierism-Baroque,,,1603-1627,,http://lh3.googleusercontent.com//wXP5EVrAGvXftTsoEFuUDu4ydsZL0E_kF2nVWty9uPGpgzao4nXXLCRSgIEDjZdm
Juan Sánchez Cotán,Saint Bruno##DAHDIAG3xc8RtQ,Manierism-Baroque,,,1603-1605,,http://lh3.googleusercontent.com//exZ3H1Ntp1n6axOrc-kHlSpxwb-jsJQ5xjWiU8kv8kmnDcgwrcBgKQs1VV6F6itftA
Juan Sánchez Cotán,Inmaculate Conception##fwEc_oDvPOIFLQ,Manierism-Baroque,,,1617-1618,,http://lh3.googleusercontent.com//c8AzWiYBxmPmvikzJugz5-bpRypzlPgPCs8XPUGR2piWnLRmqyJcQDRkfCDDdgaG-Q
Juan Sánchez Cotán,Saint John Baptist##WAHg-FxR8EinQA,Manierism-Baroque,,,1603-1605,,http://lh3.googleusercontent.com//KhU8K8ekDArlyfaFNAb86q1PiOJbDg0Q84bdnx6qy5AREJAXRuuSMtahP8K-Tz7mIyg
Juan Sánchez Cotán,The Virgin Awakening Child Christ##8QHlaq7sm0iANg,Manierism-Baroque,,,1603-1627,,http://lh3.googleusercontent.com//b50TdVgkBuPDgQPRVxphHF0DoojipDSWHxuVfmSfdyrNvHNmaPZbAAwYByLZs0x6RA
Pedro de Mena,Saint Joseph And The Christ Child##gwEdQMRcHv9mnQ,Baroque,,,1653-1657,,http://lh3.googleusercontent.com//x2-YRFPL6yCGDRd5gPALDsm9eTxDUYYT9F7F6u2-ciH9o-Ty9oZWABiCne_ihatx
