title,artist,subject,year,description,image_path,emotion,style,monologue
A Danish Coast,"LUNDBYE, Johan Thomas",landscape,1825,"The painting shows a view from Kitnas on Roskilde Fjord, Zeeland. When the painter decided to depict a Danish coastline in an unusually monumental format, the scene was to represent the quintessential characteristic of the Danish countryside: the extensive coastlines. The scene does not, in fact, depict a single, specific site, the main motif is based on cliffs that the artist saw and sketched at the Roskilde Fjord. He adapted these cliffs, making them rather more monumental, and combined them with scenes from elsewhere",23474-danishco.jpg,,,
A View of Souda Island,"VELDE, Peter van den",landscape,1675,"The painting shows a view of Souda Island, Crete with a Turkish galley and two Dutch ships.Souda is situated on the NW coast of Crete. On Souda Island the Venetians built a castle in 1573 to reinforce the defence of the port of Souda and to control the Gulf entrance. The construction works were finished within a year but until the Turkish invasion of Crete in 1645 improvements were regularly made",21468-queen.jpg,,,
A Winter Scene,"OSTADE, Isaack van",landscape,1625,"Isack van Ostade was the short-lived younger brother of the painter of scenes from peasant life, Adriaen van Ostade. They were both born, lived and worked in Haarlem, and Isack was a pupil of his brother who was eleven years his senior. Isack joined the guild in 1643. His earliest paintings - the first dated picture is from 1639 - are peasant interiors dependent on Adriaen's, but towards the end of his brief career he became more interested in outdoor scenes and produced a series of beautiful and original landscapes, often set in winter. This deliberately picturesque view, its low viewpoint serving to outline the wooden bridge against the sky, is one of his finest paintings. It is rich in its treatment of the details of peasant life, whose harsh aspects (as seen, for example, in the figure of the man labouring under his load of faggots) are relieved by the pleasure taken by the child in the anticipation of skating on the frozen river.",30774-6transf.jpg,,,
Abraham's Journey to Canaan,"LASTMAN, Pieter Pietersz.",religious,1625,The painting is signed and dated on the rock at the left side,07499-271y_ram.jpg,,,
Adoration of the Shepherds,REMBRANDT Harmenszoon van Rijn,religious,1625,Catalogue number: Bredius 574,30774-6transf.jpg,,,
Allegory of Poetry,"BOUCHER, Franois",mythological,1725,"This canvas and its companion-piece, Allegory of Music, are examples of the small scale allegorical pictures which were created by Boucher to decorate the homes, and more specifically, overdoors within the intricately carved boiserie paneling that was installed in many mid-18th century Parisian h�tels",23474-danishco.jpg,,,
Allegory on the Death of the Dauphin,"LAGRENE, Louis-Jean-Franois",mythological,1775,"Legrane received several royal commissions in a busy life. In the Allegory on the Death of the Dauphin the figures are not strictly allegorical, apart from the sorrowing France behind the bed, for they represent the dauphine and the couple's sons (including the dead one who appears with a crown of stars for his dying father), the effect is of allegory rather than fact. And the idiom in which the picture is painted is certainly classical, much as interpreted by Batoni, though critics of the day it suggested Guido Reni",10300-06woman4.jpg,,,
An Outdoor Banquet,"JANSSENS, Hieronymus",genre,1675,The painting is signed and dated lower right: Janssens . fecit . 1649 ,07499-271y_ram.jpg,,,
Caf in Paris,"KOROVIN, Konstantin Alekseyevich",landscape,1875,"Korovin was surely the purest Russian Impressionist, the closest to the French spirit, which his several visits to western Europe after 1885 familiarized him with. His early works were nonetheless closer to the precise draughtsmanship and narrative interest of a Caillebotte or Forain than to Monet, twenty years his senior",07499-271y_ram.jpg,,,
Caritas (Charity),"CRANACH, Lucas the Elder",religious,1525,"From 1529 Lucas Cranach the Elder, and his son Lucas the Younger depicted the Christian virtue of Love, Caritas or Charitas, in some dozen different versions. It happened only in individual pictures, where Caritas (Charity) does not appear in the company of the seven (or more) virtues and vices. The earlier clothed personification - the idealised figure of a woman - has been replaced by the picture of a young mother. She sits in blissful nakedness on a stone bench, her legs modestly crossed, with only a thin veil covering her head and shoulders. She breastfeeds her baby and allows two somewhat larger boys to cling on her.This composition later appeared in many other versions. The present version is amongst the earliest of Cranach's numerous variants of Caritas pictures. It is signed and of high quality",10300-06woman4.jpg,,,
Crucifixion,MASACCIO,religious,1425,"On February 19th 1426 Masaccio agreed to paint an altarpiece for a chapel in the church of the Carmine in Pisa for the sum of 80 florins. On December 26th of that year the work must have been already completed since payment for it is recorded on this date. Vasari gave a detailed description of the work which was the basis for art critics for the attempt at reconstruction and for the recovery and identification of the work which was dismantled and dispersed in the 18th century. Only eleven pieces have so far come to light and they are not sufficient to enable a reliable reconstruction of the whole work. The Crucifixion is one of the eleven panels (one of the top panels) connected with the Pisa Polyptych.As in the main panel, the Gothic arch determines the pictorial frame, the upward stress of which Masaccio modifies in his composition. To counter the vertical trust imposed by the arch, Masaccio creates a strong horizontal effect with the rather exaggerated extension of the arms of Christ on the cross. Although Masaccio still uses the gilt background for his representation, the atmospheric effects remain hauntingly convincing.",21468-queen.jpg,,,
Deesis Range: The Archangel Michael,"RUBLYOV, Andrey",religious,1425,"The iconostasis is the elaborately painted wall of icons that separates the Holy Apse from the main nave of an Orthodox church. It has a varying number of tiers. In Byzantine art, the Deesis is a traditional iconic representation of Christ in Majesty enthroned, carrying a book, and flanked by the Virgin Mary and St John the Baptist, and sometimes other saints and angels. The Deesis was often placed above the Holy Door of the iconostasisThe picture shows the left icon from the Deesis Range in Zvenigorod",23474-danishco.jpg,,,
Ecce Homo,"ASSERETO, Gioachino",religious,1625,This subject was treated by Assereto several times,19034-lakenami.jpg,,,
Family Meal,"TIEPOLO, Giovanni Domenico",genre,1775,"This scene is on the wall of the room with Rustic Scenes in the Foresteria of the Villa Valmarana.Farmhands like those represented played a major part in creating the wealth of Renaissance Venice, but they rarely appeared in painting of that period. The artist's unusual portrayal of them illustrates the wide focus of 18th-century culture",38414-selfport.jpg,,,
Figures in a Tree-lined Avenue,"CERQUOZZI, Michelangelo",landscape,1625,"A 1692 Chigi inventory lists two paintings, the Rural Scene (see at Angeluccio) and the Figures in a Tree-lined Avenue and indicates that they are the product of a collaboration between Angeluccio, who painted the landscape, and Michelangelo Cerquozzi, who painted the figures.Though Miel and van Bloemen also painted figures for Angeluccio's landscapes, the majority of his collaborations were with Michelangelo Cerquozzi. Angeluccio seems to have furnished background landscapes for his fellow ""Bamboccianti"" much as Viviano Codazzi executed architectural backgrounds for them. A hypothesis has even been advanced that the nickname ""Angeluccio"" is derived from the closeness of this artist to ""Michele Angelo"" Cerquozzi. The fruits of this collaboration entered into numerous important Roman collections in the seventeenth and eighteenth centuries, the inventories of which either report the pictures as ""by Angeluccio with figures by Cerquozzi"", or as landscapes by Angeluccio alone",10300-06woman4.jpg,,,
Guardroom with Monkeys,"TENIERS, David the Younger",genre,1675,"In a large, open, barn-like structure, which serves as a guardroom, groups of monkeys wearing soldiers' uniforms are grouped around tables playing cards and back-gammon.Pictures of monkeys had been popular from the sixteenth-century and it was Teniers who developed the theme in the seventeenth-century. The primary role of the monkey in visual and literary sources of the sixteenth-century was to represent the irrational and foolish side of man's nature, but monkeys also were symbols of sinfulness and seen as devils",21468-queen.jpg,,,
Harvest at Montfoucault,"PISSARRO, Camille",landscape,1875,"Pissarro's landscapes include the people who live and work there; unlike his Impressionist friends Monet and Renoir, these are not city people who travel to the country to relax on the weekend, but peasant farmers and their wives, herdsmen, and shepherdesses. Yet, unlike Millet, Pissarro does not monumentalise his agricultural labourers. They are not posed, and they themselves form an integral part of the landscape",21468-queen.jpg,,,
Infanta Margarita,"VELZQUEZ, Diego Rodriguez de Silva y",portrait,1625,"At the end of the 1640s Velzquez was on the threshold to his late work and the peak of his artistic achievement, to which his likenesses of the Spanish Habsburgs, not least, made a considerable contribution. They are among the finest examples of court portraiture ever painted. This picture represents Infanta Margarita, born on 12 July 1651, daughter of Philip IV and his second wife, Mariana. The Infanta is the central figure of Vel�zquez's famous composition, Las Meninas, painted three years later",30774-6transf.jpg,,,
Interior of a Tailor's Shop,"BREKELENKAM, Quiringh van",genre,1675,"Quiringh van Brekelenkam worked in Leiden, where he was influenced by Dou's domestic subjects and by Metsu's broad touch and intense colours. He is best known for his paintings of men and women artisans working at various crafts: cobblers, lace makers, spinners, fish mongers, and so forth. Outstanding is his Tailor's Shop of 1653 at the Worcester Art Museum where he finds quiet poetry in a view of a humble interior with the master and his two apprentices at work, seated tailor-fashion on the table while an old woman prepares a meal. Thirteen variations of the Worcester painting have been recorded (fine ones are at Amsterdam, London, Philadelphia, and Bonn); an indication that there must have been a good market for the motif. Like so many genre painters of his time, he turned to more elegant subjects in the sixties",30774-6transf.jpg,,,
Isenheim Altarpiece (third view),"GRNEWALD, Matthias",religious,1525,"The third view with wings opened again discloses on either side of the carved innermost shrine two panels, Sts Paul and Anthony in the Desert and a Temptation of St Anthony. ",38414-selfport.jpg,,,
Judith,"MANTEGNA, Andrea",religious,1475,"Once owned by King Charles I of England, this painting illustrates an episode from the Old Testament which relates how the Israelite Judith by guile killed the Assyrian general Holofernes and thus saved her beleaguered city. Painted with minute detail, Judith and her handmaiden finish their deed with tragic calm.Among Mantegna's works there are several representations of Judith that, without exception, show a comparatively peaceful scene in which Judith is placing the severed head of Holofernes in a bag. During the Baroque, in contrast, the dramatic central moment of the action was preferred, as Judith, often with great effort, decapitates Holofernes.",38414-selfport.jpg,,,
Knigsbrcke and Knigskolonnade,"GRTNER, Eduard",landscape,1825,This view of the Knigsbrcke shows the theaterlike pavilions still under construction,38414-selfport.jpg,,,
Landscape with Shepherds and Sheep,"BONZI, Pietro Paolo",landscape,1625,"During his lifetime Bonzi was particularly renowned for his still-lifes, but, like Filippo Napoletano, he was also active as a painter of landscapes. His output in this genre became entangled with that of Agostino Tassi, even though the two do not really have much in common. In addition to this canvas, Bonzi's certain works include The Martyrdom of St Sebastian and The Rest of Hercules (both in the Pinacoteca Capitolina, Rome), Nymph and Faun (Galleria Nazionale d'Arte Antica di Palazzo Barberini, Rome) and Latona and the Frogs (Mus�e du Louvre, Paris).Bonzi was clearly influenced by Annibale Carracci and to an even greater extent by Domenichino, but his compositions are more open on both sides and his terrain much flatter. His foregrounds spread out freely without obstacles such as large rocks or bushes, almost inviting the viewer to walk into the picture. His rather awkward figures tend to move parallel to the picture plane in a frieze-like procession. In the early 1620s he worked at the Palazzo Borghese on the Quirinal hill with Filippo Napoletano, each decorating different rooms. In this landscape Bonzi's close attention to naturalistic detail suggests the influence of Bril. Establishing a chronology for Bonzi's landscapes is almost impossible, but this work is perhaps not too far in date from the Pallavicini-Rospigliosi frescoes. The shepherds' nakedness indicates that the scene is not contemporary (even though sheep-farming had largely replaced cultivation in the Roman campagna around this time), but rather an episode from Virgil's Arcadia",14509-burning.jpg,,,
